Длина паттерна в символах;Тип шаблона;Наивный Алгоритм;КМП стандарт;КМП утонченный;Z-функция
1300;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (1 символов подстановки);2049408;1519499;1540523;2863472;
1400;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (1 символов подстановки);2041261;1521040;1543336;2865722;
1500;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (1 символов подстановки);2043893;1522415;1539720;2860808;
1600;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (1 символов подстановки);2040016;1526110;1552053;2872469;
1700;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (1 символов подстановки);2041308;1528705;1556238;2876568;
1800;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (1 символов подстановки);2050351;1532564;1561714;2883721;
1900;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (1 символов подстановки);2035638;1536197;1566970;2883265;
2000;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (1 символов подстановки);2045862;1535257;1567653;2887996;
2100;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (1 символов подстановки);2035811;1535573;1569602;2868588;
2200;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (1 символов подстановки);2036437;1543465;1579136;2894581;
2300;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (1 символов подстановки);2046903;1545680;1582908;2901634;
2400;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (1 символов подстановки);2034090;1527071;1565921;2898898;
2500;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (1 символов подстановки);2033683;1550679;1591242;2903591;
2600;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (1 символов подстановки);2050575;1552373;1594450;2912903;
2700;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (1 символов подстановки);2021386;1555369;1599069;2905227;
2800;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (1 символов подстановки);2029356;1558155;1603485;2912601;
2900;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (1 символов подстановки);2034756;1540799;1587808;2916332;
3000;Случайно сгенерированный текст в алфавите из 4 символов - 100'000 символов (1 символов подстановки);2021335;1560605;1609183;2915195;
100;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (2 символов подстановки);1204390;693898;697472;1369227;
200;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (2 символов подстановки);1197662;661987;646079;1362816;
300;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (2 символов подстановки);1184306;673581;664528;1377638;
400;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (2 символов подстановки);1171929;710028;721857;1374086;
500;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (2 символов подстановки);1153638;688118;718417;1361916;
600;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (2 символов подстановки);1140267;705822;717181;1408773;
700;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (2 символов подстановки);1138428;759058;794139;1434528;
800;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (2 символов подстановки);1150700;763420;806747;1435222;
900;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (2 символов подстановки);1139083;734557;794131;1475960;
1000;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (2 символов подстановки);1105822;801734;867497;1515393;
1100;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (2 символов подстановки);1108825;746192;805692;1517572;
1200;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (2 символов подстановки);1112266;773641;851095;1467078;
1300;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (2 символов подстановки);1097676;768578;840530;1524924;
1400;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (2 символов подстановки);1066939;841389;929010;1545914;
1500;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (2 символов подстановки);1048114;837276;922730;1535734;
1600;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (2 символов подстановки);1094353;837243;931071;1546619;
1700;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (2 символов подстановки);1029632;816816;913935;1525223;
1800;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (2 символов подстановки);1037062;828250;947586;1599847;
1900;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (2 символов подстановки);999158;902025;1025495;1629809;
2000;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (2 символов подстановки);989532;844518;976701;1604507;
2100;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (2 символов подстановки);978966;912979;1041987;1607522;
2200;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (2 символов подстановки);977202;872934;1004321;1651208;
2300;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (2 символов подстановки);978224;883860;1008666;1650346;
2400;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (2 символов подстановки);978501;888232;1034467;1684171;
2500;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (2 символов подстановки);986745;940109;1090497;1652558;
2600;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (2 символов подстановки);956235;975469;1146897;1728842;
2700;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (2 символов подстановки);912988;937158;1079912;1711283;
2800;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (2 символов подстановки);905425;991998;1168178;1699067;
2900;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (2 символов подстановки);926298;992673;1161871;1743564;
3000;Случайно сгенерированный текст в бинарном алфавите - 10'000 символов (2 символов подстановки);902804;950375;1132466;1711713;
100;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (2 символов подстановки);12075573;6886141;6876626;13706243;
200;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (2 символов подстановки);12103117;6429809;6149132;12910839;
300;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (2 символов подстановки);11346264;6776876;6740412;12947105;
400;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (2 символов подстановки);12047641;6437308;6409002;12940625;
500;Случайно сгенерированный текст в бинарном алфавите - 100'000 символов (2 символов подстановки);12044966;6756189;6782646;13117585;
